PERSON_ID;NAO_IS_OPPONENT;moves;player_wins;player_score;computer_wins;computer_score;advice_given;advice_asked;advice_followed;advice_not_followed;recommended_moves;played_moves_after_recommendation;Geslacht;Leeftijd;Ik vond het spel het leukst op moeilijkheidsgraad;De Nao maakte het spel leuker;Zonder Nao had ik het spel even leuk gevonden;Nao is een vriendje;Ik voel me op mijn gemak als ik met Nao ben;Nao en ik zijn vriendjes aan het worden;Nao en ik passen goed bij elkaar;Nao voelt als een vriendje voor mij;Ik heb het gevoel dat ik Nao kan vertrouwen;Ik heb het gevoel dat Nao een geheim van mij kan bewaren;Ik heb het gevoel dat Nao eerlijk is;Ik heb het gevoel dat Nao te vertrouwen is;Als ik in de problemen zat zou ik op Nao kunnen rekenen;Als ik in de problemen zat zou Nao mij willen helpen;Als ik in de problemen zat zou Nao voor mij opkomen;Als ik in de problemen zat zou Nao mij opvrolijken
1;0;80;0;0;5;15;3;2;3;0;[2,3,3];[2,3,3];v;76;3;5;3;3;4;3;4;3;4;5;5;5;5;5;5;5
1;1;75;0;0;5;15;0;0;0;0;[];[];v;76;3;5;3;5;5;4;4;4;5;5;5;5;4;5;5;4
2;1;58;2;3;3;12;2;0;1;1;[0,0];[0,1];v;52;5;4;2;4;3;4;2;3;2;4;5;5;3;5;5;5
2;0;65;0;0;5;15;0;0;0;0;[];[];v;52;3;5;2;4;3;3;2;2;4;5;4;5;4;5;5;5
3;0;70;0;0;5;15;0;0;0;0;[];[];m;54;3;3;4;3;2;2;2;2;3;5;5;5;2;3;3;4
3;1;77;1;1;4;14;8;2;6;1;;;m;54;3;3;4;2;2;3;2;2;4;4;5;5;3;2;3;3
4;1;119;2;6;3;9;1;0;1;0;[0];[0];m;23;5;4;1;2;5;2;2;2;3;1;3;3;3;3;3;3
4;0;106;1;1;4;14;0;0;0;0;[];[];m;23;5;4;2;2;4;2;2;2;3;2;3;2;2;3;3;3
5;0;132;3;7;1;5;11;5;11;0;;;m;32;5;4;2;5;5;4;2;3;4;2;4;4;4;5;3;2
5;1;77;2;3;3;12;0;0;0;0;[];[];m;32;3;1;4;1;2;2;3;1;1;1;3;2;2;1;1;1
6;1;98;0;0;5;15;0;0;0;0;[];[];m;12;3;5;2;4;5;3;2;5;5;5;5;5;5;5;4;5
6;0;121;1;2;4;13;19;11;6;3;[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6, 2, 1, 1, 3];[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6, 4, 1, 1, 4];m;12;3;5;3;5;5;4;5;4;5;5;5;5;5;5;5;5
7;0;136;2;4;3;11;7;0;6;1;[1, 4, 3, 2, 1, 2, 2];[1, 4, 3, 2, 1, 5, 2];m;45;4;2;4;1;3;1;2;1;3;4;3;3;1;4;4;4
7;1;89;2;3;3;12;0;0;0;0;[];[];m;45;4;2;4;1;4;1;1;2;2;1;2;2;2;4;4;3
8;1;97;0;0;5;15;0;0;0;0;[];[];m;27;2;2;4;2;3;3;3;3;4;4;4;4;4;3;4;3
8;0;82;3;8;2;7;13;8;13;0;[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6];[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6];m;27;5;5;2;4;5;4;3;4;4;3;5;4;3;4;5;5
9;0;107;1;3;4;12;7;0;3;4;[0, 4, 0, 0, 0, 0, 1];[0, 4, 6, 0, 3, 2, 3];v;25;4;5;3;5;5;3;2;1;1;2;4;4;1;4;2;5
9;1;131;2;4;3;11;0;0;0;0;[];[];v;25;3;5;4;2;4;3;3;3;3;1;3;3;1;4;3;5
10;1;108;0;0;5;15;0;0;0;0;[];[];m;24;1;4;2;5;5;3;3;3;4;4;4;4;3;3;3;4
10;0;114;1;1;4;14;8;0;5;3;[2, 1, 5, 6, 0, 4, 5, 6];[2, 1, 5, 6, 2, 2, 5, 1];m;24;4;5;1;4;5;5;5;4;4;4;5;4;3;3;4;5
11;0;104;1;1;4;14;7;0;7;0;[1, 2, 2, 0, 3, 4, 6];[1, 2, 2, 0, 3, 4, 6];m;27;5;4;2;3;5;3;3;3;2;2;3;2;1;4;4;4
