PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
10,1,1,33,Computer,0,0,0,0,[],[]
10,1,2,67,Computer,0,0,0,0,[],[]
10,1,3,77,Computer,0,0,0,0,[],[]
10,1,4,96,Computer,0,0,0,0,[],[]
10,1,5,108,Computer,0,0,0,0,[],[]
10,0,1,18,Player,1,0,1,0,[2],[2]
10,0,2,51,Computer,4,0,4,0,"[2, 1, 5, 6]","[2, 1, 5, 6]"
10,0,3,71,Computer,5,0,4,1,"[2, 1, 5, 6, 0]","[2, 1, 5, 6, 2]"
10,0,4,88,Computer,6,0,4,2,"[2, 1, 5, 6, 0, 4]","[2, 1, 5, 6, 2, 2]"
10,0,5,114,Computer,8,0,5,3,"[2, 1, 5, 6, 0, 4, 5, 6]","[2, 1, 5, 6, 2, 2, 5, 1]"
