PERSON_ID;NAO_IS_OPPONENT;GAME_DIFFICULTY;moves;winner;advice_given;advice_asked;advice_followed;advice_not_followed;recommended_moves;played_moves_after_recommendation
5;0;1;12;Player;2;1;2;0;[3, 2];[3, 2]
5;0;2;19;Player;2;1;2;0;[3, 2];[3, 2]
5;0;3;42;None;5;4;5;0;[];[]
5;0;4;72;Player;7;4;7;0;[1, 2];[1, 2]
5;0;5;132;Computer;11;5;11;0;[1, 2, 2, 0];[1, 2, 2, 0]
5;1;1;7;Player;0;0;0;0;[];[]
5;1;2;14;Player;0;0;0;0;[];[]
5;1;3;43;Computer;0;0;0;0;[];[]
5;1;4;64;Computer;0;0;0;0;[];[]
5;1;5;77;Computer;0;0;0;0;[];[]
