PERSON_ID,NAO_IS_OPPONENT,GAME_DIFFICULTY,moves,winner,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
102,0,6,8,Computer,3,0,0,3,"[2, 3, 2]","[0, 0, 0]"
102,1,6,18,Computer,0,0,0,0,[],[]
103,0,6,18,Computer,3,0,2,1,"[0, 1, 1]","[1, 1, 1]"
5,0,6,132,Computer,11,5,11,0,"[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5,1,6,77,Computer,0,0,0,0,[],[]
102,1,6,99,Computer,0,0,0,0,[],[]
6,1,6,98,Computer,0,0,0,0,[],[]
6,0,6,121,Computer,19,11,6,3,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 6, 2, 1, 1, 3]","[2, 3, 2, 4, 4, 0, 1, 4, 3, 6, 4, 4, 1, 6, 6, 4, 1, 1, 4]"
7,0,6,136,Computer,7,0,6,1,"[1, 4, 3, 2, 1, 2, 2]","[1, 4, 3, 2, 1, 5, 2]"
7,1,6,89,Computer,0,0,0,0,[],[]
8,1,6,97,Computer,0,0,0,0,[],[]
8,0,6,82,Player,13,8,13,0,"[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6]","[3, 2, 4, 3, 2, 3, 1, 2, 4, 1, 1, 0, 6]"
105,0,25,0,0,2,9,1,0,0,1,[0],[2]
106,0,33,0,0,2,9,2,0,0,2,"[5, 1]","[4, 2]"
